plot,layer,selection,challenge,culture,x,y,ymin,ymax
Matched potency,bar,Sotorasib,Sotorasib,,1,1.0251331508832484,,
Matched residual,bar,Circuit,Circuit,,3,1.4586636390171759,,
Matched residual,bar,RMC-7977,RMC-7977,,2,40.212301663167196,,
Matched residual,bar,Sotorasib,Sotorasib,,1,69.9550717466502,,
Matched potency,point,Sotorasib,Sotorasib,,1.0016772932000457,1.1588287063600424,,
Matched residual,point,Sotorasib,Sotorasib,,0.9424173846840859,80.11049723756905,,
Matched potency,point,Sotorasib,Sotorasib,,1.0525887495465576,1.161962338036514,,
Matched residual,point,Sotorasib,Sotorasib,,0.9471257887035608,70.22200772200773,,
Matched potency,point,Sotorasib,Sotorasib,,0.8831902063265443,0.7546084082531885,,
Matched residual,point,Sotorasib,Sotorasib,,1.0594082108139993,59.532710280373834,,
Matched potency,point,RMC-7977,RMC-7977,,2.07591335458681,1.3158528231980928,,
Matched residual,point,RMC-7977,RMC-7977,,1.957208777386695,42.60204081632653,,
Matched potency,point,RMC-7977,RMC-7977,,1.9832678713835776,1.7572529354961612,,
Matched residual,point,RMC-7977,RMC-7977,,2.023143272791058,47.48803827751196,,
Matched potency,point,RMC-7977,RMC-7977,,1.9690504443645478,1.3869936111246568,,
Matched residual,point,RMC-7977,RMC-7977,,1.9157099954038859,30.546825895663105,,
Cross potency,point,Sotorasib,Circuit,,0.9957761792838573,-0.0077503164192109925,,
Cross residual,point,Sotorasib,Circuit,,1.0747119037620723,2.397174906522642,,
Cross potency,point,Sotorasib,Circuit,,0.9983264527283608,0.014713024495678642,,
Cross residual,point,Sotorasib,Circuit,,1.1103229161538184,3.351375732972485,,
Cross potency,point,Sotorasib,Circuit,,0.9273275875113904,-0.035793173242966755,,
Cross residual,point,Sotorasib,Circuit,,0.9905233555659652,1.9158215010141981,,
Cross potency,point,RMC-7977,Circuit,,1.998034116141498,0.03833488518525326,,
Cross residual,point,RMC-7977,Circuit,,1.962712876535952,5.303776683087027,,
Cross potency,point,RMC-7977,Circuit,,1.8889171390421688,0.22357628165114926,,
Cross residual,point,RMC-7977,Circuit,,2.071270813494921,7.308533916849015,,
Cross potency,point,RMC-7977,Circuit,,1.9831995958089828,0.024025715599381336,,
Cross residual,point,RMC-7977,Circuit,,2.098360068034381,3.6424282855236827,,
Matched potency,point,Circuit,Circuit,,2.92271592753008,-0.012023875678330426,,
Matched residual,point,Circuit,Circuit,,3.0513130757957696,1.578520286396181,,
Matched potency,point,Circuit,Circuit,,2.9849138243682685,-0.07249930219702143,,
Matched residual,point,Circuit,Circuit,,3.0613100977800785,1.307930881701373,,
Matched potency,point,Circuit,Circuit,,2.9667740034498276,-0.01525177580897741,,
Matched residual,point,Circuit,Circuit,,3.0749510340951383,1.489539748953974,,
