layer,comparison,x,y,color,label
bar,Sotorasib 1 µM,5,,Sotorasib,
bar,Sotorasib 1 µM,-15,,Sotorasib,
bar,RMC 30 nM,1850,,RMC-7977,
bar,RMC 30 nM,-1572,,RMC-7977,
bar,LNP negative control,770,,Negative control,
bar,LNP negative control,-138,,Negative control,
bar,LNP positive control,2079,,Positive control,
bar,LNP positive control,-4087,,Positive control,
bar,Sensor high,2,,Circuit,
bar,Sensor high,-13,,Circuit,
bar,Sensor high + Casp3,168,,Circuit,
bar,Sensor high + Casp3,-87,,Circuit,
point,RMC-7977 30 nM,2.53959292323756,26.656903137900958,DE (RMC),
point,RMC-7977 30 nM,-2.44422590774418,26.648566117178472,DE (RMC),
point,RMC-7977 30 nM,-3.17122337935716,26.623189414798397,DE (RMC),
point,RMC-7977 30 nM,3.94111753756994,26.622724268633682,DE (RMC),
point,RMC-7977 30 nM,-3.07898030995706,26.619654924519235,DE (RMC),
point,RMC-7977 30 nM,2.08678371436325,26.574914318603003,DE (RMC),
point,RMC-7977 30 nM,-2.96177675384,26.572233908708643,DE (RMC),
point,RMC-7977 30 nM,2.54141294647023,26.564430049514783,DE (RMC),
point,RMC-7977 30 nM,1.80425334135105,26.54776794972501,DE (RMC),
point,RMC-7977 30 nM,-2.14337977704148,26.546201138654027,DE (RMC),
point,RMC-7977 30 nM,3.0725465953671,26.546201138654027,DE (RMC),
point,RMC-7977 30 nM,-2.6529844442026,26.53299326556595,DE (RMC),
point,RMC-7977 30 nM,-2.12407816173932,26.493513801377034,DE (RMC),
point,RMC-7977 30 nM,-3.46598225243702,26.464396422518398,DE (RMC),
point,RMC-7977 30 nM,-3.229455158236,26.389566211532312,DE (RMC),
point,RMC-7977 30 nM,2.16142761483664,26.313415713027684,DE (RMC),
point,RMC-7977 30 nM,-2.6253468685909,26.313415713027684,DE (RMC),
point,RMC-7977 30 nM,-5.64809356032018,26.300833815071535,DE (RMC),
point,RMC-7977 30 nM,3.79329736687593,26.25924659371605,DE (RMC),
point,RMC-7977 30 nM,-3.75681368435232,26.249756180051644,DE (RMC),
point,RMC-7977 30 nM,2.40770476527748,26.249756180051644,DE (RMC),
point,RMC-7977 30 nM,5.10454823299393,26.209678276869575,DE (RMC),
point,RMC-7977 30 nM,-4.74348445667537,26.133385242746552,DE (RMC),
point,RMC-7977 30 nM,-3.26605458432095,26.11979567714316,DE (RMC),
point,RMC-7977 30 nM,2.25777360297784,26.11884931679111,DE (RMC),
point,RMC-7977 30 nM,-2.49345531730254,26.025911868550452,DE (RMC),
point,RMC-7977 30 nM,-2.28978616327905,26.02424869835219,DE (RMC),
point,RMC-7977 30 nM,-3.30824470322357,25.981325869655677,DE (RMC),
point,RMC-7977 30 nM,1.76720116060635,25.965604603574203,DE (RMC),
point,RMC-7977 30 nM,1.99286213319854,25.9341130695931,DE (RMC),
point,RMC-7977 30 nM,-2.77286737912108,25.785909953120367,DE (RMC),
point,RMC-7977 30 nM,-3.81936227344927,25.773371002325298,DE (RMC),
point,RMC-7977 30 nM,-4.11458457803373,25.762548606673068,DE (RMC),
point,RMC-7977 30 nM,3.09395375087281,25.72145651381735,DE (RMC),
point,RMC-7977 30 nM,-2.67805042673941,25.71990435277823,DE (RMC),
point,RMC-7977 30 nM,3.2704974639058,25.682241572228207,DE (RMC),
point,RMC-7977 30 nM,-2.64900582104108,25.655066893053124,DE (RMC),
point,RMC-7977 30 nM,2.69103417851398,25.655066893053124,DE (RMC),
point,RMC-7977 30 nM,-3.19886978827269,25.639528908366664,DE (RMC),
point,RMC-7977 30 nM,4.25366742960765,25.63271993685881,DE (RMC),
point,RMC-7977 30 nM,3.0676273949502,25.63238713234267,DE (RMC),
point,RMC-7977 30 nM,2.21824402400187,25.54434851546901,DE (RMC),
point,RMC-7977 30 nM,-2.76159443081137,25.523512169128576,DE (RMC),
point,RMC-7977 30 nM,1.99810869725106,25.50499466786113,DE (RMC),
point,RMC-7977 30 nM,3.69977923591278,25.50264151217598,DE (RMC),
point,RMC-7977 30 nM,2.45390976424097,25.496918226490745,DE (RMC),
point,RMC-7977 30 nM,-3.49702332203344,25.49146990542288,DE (RMC),
point,RMC-7977 30 nM,-5.85615076439024,25.476078626984517,DE (RMC),
point,RMC-7977 30 nM,3.31457000852013,25.39639647507553,DE (RMC),
point,RMC-7977 30 nM,2.14572943096276,25.38187694644827,DE (RMC),
point,RMC-7977 30 nM,1.95197360894366,25.27115211614854,DE (RMC),
point,RMC-7977 30 nM,-3.47994249176169,25.268201638377505,DE (RMC),
point,RMC-7977 30 nM,2.16549487296473,25.253498373219504,DE (RMC),
point,RMC-7977 30 nM,-4.59871515532346,25.240312511990993,DE (RMC),
point,RMC-7977 30 nM,2.21712101930843,25.211644053993044,DE (RMC),
point,RMC-7977 30 nM,2.97821586228523,25.093730254394846,DE (RMC),
point,RMC-7977 30 nM,-3.49179807499081,25.089898262016447,DE (RMC),
point,RMC-7977 30 nM,2.33292774173428,25.024672261550375,DE (RMC),
point,RMC-7977 30 nM,2.9299143887322,24.97100728627736,DE (RMC),
point,RMC-7977 30 nM,1.71473724535344,24.92891473092229,DE (RMC),
point,RMC-7977 30 nM,-2.0984489112916,24.927019530461994,DE (RMC),
point,RMC-7977 30 nM,-3.49294145924681,24.902190738688354,DE (RMC),
point,RMC-7977 30 nM,1.88623695643516,24.894003197767177,DE (RMC),
point,RMC-7977 30 nM,3.52345935639433,24.876480233598915,DE (RMC),
point,RMC-7977 30 nM,-3.6466042168605,24.8710576368953,DE (RMC),
point,RMC-7977 30 nM,-4.28861420832661,24.870537648297947,DE (RMC),
point,RMC-7977 30 nM,2.55570937241358,24.868914888817418,DE (RMC),
point,RMC-7977 30 nM,1.81580997637178,24.868914888817418,DE (RMC),
point,RMC-7977 30 nM,2.62132548966958,24.86493185618,DE (RMC),
point,RMC-7977 30 nM,2.55745326153732,24.86493185618,DE (RMC),
point,RMC-7977 30 nM,-3.88762475421438,24.858534530553932,DE (RMC),
point,RMC-7977 30 nM,2.6944670247112,24.85536639662936,DE (RMC),
point,RMC-7977 30 nM,-1.86247204453955,24.850098794014347,DE (RMC),
point,RMC-7977 30 nM,2.36293680272191,24.836487742391558,DE (RMC),
point,RMC-7977 30 nM,2.89551703435992,24.836487742391558,DE (RMC),
point,RMC-7977 30 nM,-3.32146210381287,24.83327882838171,DE (RMC),
point,RMC-7977 30 nM,-3.68601315141596,24.781677221180036,DE (RMC),
